user_id,signup_date,market,age_band,gender,height_cm,subscription_tier,referral_source
USR_0001,2024-04-12,UAE,55+,Female,156.4,Premium,Organic Search
USR_0002,2024-02-21,United Kingdom,18-24,Female,168.4,Basic,Social Media
USR_0003,2024-04-02,Nigeria,35-44,Female,154.3,Free,Referral
USR_0004,2024-01-15,Nigeria,45-54,Female,164.6,Free,Referral
USR_0005,2024-03-12,UAE,45-54,Female,162.0,Free,Paid Ad
USR_0006,2024-03-01,UAE,55+,Male,172.8,Premium,Paid Ad
USR_0007,2024-01-21,Nigeria,35-44,,172.0,Basic,Organic Search
USR_0008,2024-04-12,United Kingdom,25-34,Male,186.3,Premium,organic_search
USR_0009,2024-03-23,Nigeria,25-34,Male,173.0,Basic,Paid Ad
USR_0010,2024-03-27,Nigeria,25-34,Male,171.6,Basic,
USR_0011,2024-03-15,Nigeria,35-44,Female,153.0,Free,direct
USR_0012,2024-03-15,Nigeria,35-44,,174.0,Basic,Organic Search
USR_0013,2024-03-28,UAE,25-34,Female,173.7,Basic,Referral
USR_0014,2024-04-09,United Kingdom,45-54,Female,161.2,Premium,Direct
USR_0015,2024-04-13,Nigeria,35-44,Female,166.4,Free,Social media
USR_0016,2024-01-24,United Kingdom,35-44,Male,164.2,Basic,Paid Ad
USR_0017,2024-01-03,UAE,25-34,Female,159.4,Basic,Organic Search
USR_0018,2024-01-22,UAE,,Female,164.8,Basic,referral
USR_0019,2024-02-22,Nigeria,,Female,162.6,Basic,Referral
USR_0020,2024-01-02,Nigeria,25-34,Male,179.8,Basic,Paid Ad
USR_0021,2024-03-28,Nigeria,18-24,Male,169.8,Free,Social Media
USR_0022,2024-01-30,Nigeria,25-34,Male,161.8,Basic,Social media
USR_0023,2024-02-07,Nigeria,25-34,Male,181.9,Basic,Paid Ad
USR_0024,2024-01-02,United Kingdom,35-44,Male,167.4,Premium,Referral
USR_0025,2024-03-04,Nigeria,18-24,,165.0,Premium,social media
USR_0026,2024-02-29,Nigeria,45-54,Male,177.2,Free,Social Media
USR_0027,2024-01-21,Nigeria,25-34,Male,162.4,Free,
USR_0028,2024-02-02,Nigeria,45-54,Male,181.3,Premium,Organic Search
USR_0029,2024-03-16,Nigeria,55+,Male,170.0,Basic,Social Media
USR_0030,2024-02-27,Nigeria,25-34,Male,174.4,Premium,Organic Search
USR_0031,2024-01-22,Nigeria,25-34,Male,171.5,Free,Organic Search
USR_0032,2024-03-29,Nigeria,18-24,Male,185.4,Basic,Organic Search
USR_0033,2024-02-18,Nigeria,35-44,Female,170.1,Premium,Organic Search
USR_0034,2024-03-31,United Kingdom,35-44,Prefer not to say,155.3,Premium,
USR_0035,2024-02-28,Nigeria,25-34,Male,189.8,Free,Social Media
USR_0036,2024-02-11,Nigeria,35-44,Male,169.3,Basic,Social Media
USR_0037,2024-04-01,Nigeria,25-34,Female,174.6,Basic,organic_search
USR_0038,2024-02-29,UAE,25-34,Male,172.2,Free,Paid Ad
USR_0039,2024-03-20,Nigeria,35-44,Male,171.6,Basic,Direct
USR_0040,2024-01-15,United Kingdom,25-34,,160.5,Basic,Organic Search
USR_0041,2024-03-02,UAE,,Male,171.2,Premium,paid_ad
USR_0042,2024-03-02,Nigeria,25-34,Female,177.1,Basic,Organic Search
USR_0043,2024-02-16,UAE,55+,Female,161.5,Free,Paid Ad
USR_0044,2024-03-02,United Kingdom,18-24,Male,171.9,Free,Social media
USR_0045,2024-02-20,Nigeria,25-34,Male,174.5,Free,
USR_0046,2024-02-24,Nigeria,35-44,Female,156.2,Free,Paid Ad
USR_0047,2024-03-04,United Kingdom,25-34,Male,185.2,Basic,Direct
USR_0048,2024-01-03,Nigeria,55+,Male,163.7,Free,paid_ad
USR_0049,2024-04-10,UAE,35-44,Female,158.3,Premium,Social media
USR_0050,2024-02-20,Nigeria,35-44,Female,167.6,Premium,Social media
USR_0051,2024-01-07,United Kingdom,35-44,Male,174.3,Basic,Direct
USR_0052,2024-01-21,Nigeria,55+,Female,165.3,Premium,organic_search
USR_0053,2024-03-13,UAE,45-54,Male,184.7,Basic,
USR_0054,2024-02-08,United Kingdom,35-44,Female,168.0,Basic,Referral
USR_0055,2024-01-18,Nigeria,35-44,Female,162.8,Free,direct
USR_0056,2024-01-04,Nigeria,18-24,Female,174.5,Basic,
USR_0057,2024-03-29,Nigeria,18-24,Female,158.2,Basic,Social Media
USR_0058,2024-02-29,Nigeria,35-44,Prefer not to say,167.3,Premium,referral
USR_0059,2024-01-14,Nigeria,18-24,Male,173.8,Basic,referral
USR_0060,2024-01-09,United Kingdom,25-34,Female,161.4,Premium,Paid Ad
USR_0061,2024-03-30,United Kingdom,25-34,Male,166.5,Basic,Referral
USR_0062,2024-02-22,United Kingdom,25-34,Male,162.9,Free,Social Media
USR_0063,2024-01-02,UAE,35-44,Male,176.9,Premium,Paid Ad
USR_0064,2024-03-24,United Kingdom,,Prefer not to say,163.6,Basic,Social Media
USR_0065,2024-04-01,United Kingdom,18-24,Prefer not to say,181.4,Free,Social Media
USR_0066,2024-02-29,United Kingdom,35-44,Male,173.5,Basic,Social Media
USR_0067,2024-03-11,Nigeria,45-54,Male,172.2,Free,Direct
USR_0068,2024-02-13,Nigeria,18-24,Female,168.6,Basic,Organic Search
USR_0069,2024-01-08,Nigeria,45-54,Male,176.8,Basic,Paid Ad
USR_0070,2024-02-16,Nigeria,25-34,Male,172.8,Free,Paid Ad
USR_0071,2024-02-04,Nigeria,25-34,Female,158.2,Premium,Social media
USR_0072,2024-03-18,Nigeria,55+,Female,183.9,Basic,Referral
USR_0073,2024-03-21,UAE,25-34,Prefer not to say,170.5,Free,Referral
USR_0074,2024-02-05,United Kingdom,35-44,Male,181.6,Basic,PaidAd
USR_0075,2024-02-19,Nigeria,,Male,166.8,Premium,Direct
USR_0076,2024-04-13,Nigeria,18-24,Female,158.5,Free,Social media
USR_0077,2024-01-04,Nigeria,35-44,Female,174.7,Free,Referral
USR_0078,2024-01-02,Nigeria,55+,Female,170.4,Free,Direct
USR_0079,2024-01-06,Nigeria,,Female,164.7,Free,
USR_0080,2024-02-23,UAE,45-54,Male,171.3,Premium,Social Media
USR_0081,2024-01-04,Nigeria,35-44,Female,160.6,Basic,Referral
USR_0082,2024-02-23,UAE,35-44,Male,169.3,Free,Referral
USR_0083,2024-04-02,UAE,35-44,Male,165.9,Basic,Organic Search
USR_0084,2024-03-03,Nigeria,25-34,Female,167.5,Free,Organic Search
USR_0085,2024-01-18,United Kingdom,55+,Male,177.8,Premium,Referral
USR_0086,2024-03-30,United Kingdom,55+,Male,179.2,Premium,Social Media
USR_0087,2024-02-13,Nigeria,35-44,Female,160.0,Free,Direct
USR_0088,2024-02-03,Nigeria,45-54,Male,175.8,Premium,Referral
USR_0089,2024-03-14,United Kingdom,35-44,,159.4,Basic,PaidAd
USR_0090,2024-03-02,United Kingdom,25-34,Male,168.9,Free,Organic Search
USR_0091,2024-04-09,UAE,35-44,Female,172.0,Free,Paid Ad
USR_0092,2024-01-14,UAE,,Male,174.9,Basic,paid_ad
USR_0093,2024-04-04,United Kingdom,35-44,Male,177.6,Basic,paid_ad
USR_0094,2024-02-17,UAE,45-54,Prefer not to say,173.9,Premium,Social Media
USR_0095,2024-01-15,United Kingdom,25-34,Female,162.8,Basic,Social Media
USR_0096,2024-03-12,United Kingdom,18-24,Female,163.4,Premium,Paid Ad
USR_0097,2024-03-18,United Kingdom,25-34,Male,166.4,Basic,
USR_0098,2024-03-27,Nigeria,25-34,Female,156.6,Premium,Organic Search
USR_0099,2024-03-02,United Kingdom,35-44,,156.3,Basic,Social Media
USR_0100,2024-02-09,United Kingdom,35-44,Female,165.6,Free,Organic Search
USR_0101,2024-03-25,Nigeria,35-44,Female,162.4,Basic,Organic Search
USR_0102,2024-03-20,UAE,25-34,Male,167.7,Premium,Direct
USR_0103,2024-03-22,Nigeria,35-44,Male,178.1,Free,Paid Ad
USR_0104,2024-02-22,United Kingdom,25-34,Female,165.3,Premium,organic_search
USR_0105,2024-01-24,United Kingdom,25-34,Male,169.1,Free,Social Media
USR_0106,2024-01-26,United Kingdom,35-44,Male,173.8,Basic,Direct
USR_0107,2024-03-29,Nigeria,45-54,Prefer not to say,171.8,Premium,Direct
